Player,Position,NFL Team,Pre-Season Rank,Actual Rank,Rostered %,Bye,Roster Status,Yahoo Player ID
Jeremiyah Love,RB,Ari,28,28,100%,14,FA,42625
Jadarian Price,RB,Sea,59,59,96%,11,FA,42654
MarShawn Lloyd,RB,GB,71,71,86%,11,FA,40971
Carnell Tate,WR,Ten,74,74,93%,9,FA,42626
Jonathon Brooks,RB,Car,77,77,92%,5,FA,40926
De'Zhaun Stribling,WR,SF,93,93,77%,8,FA,42655
KC Concepcion,WR,Cle,98,98,76%,11,FA,42646
Makai Lemon,WR,Phi,102,102,75%,10,FA,42642
Keaton Mitchell,RB,LAC,124,124,42%,7,FA,40641
Mike Washington Jr.,RB,LV,128,128,56%,13,FA,42744
Jordyn Tyson,WR,NO,129,129,57%,8,FA,42630
Malik Willis,QB,Mia,133,133,41%,6,FA,34042
Tank Bigsby,RB,Phi,138,138,36%,10,FA,40095
Jonah Coleman,RB,Den,141,141,34%,10,FA,42730
Tre Tucker,WR,LV,142,142,27%,13,FA,40114
Denzel Boston,WR,Cle,144,144,30%,11,FA,42661
Terrance Ferguson,TE,LAR,151,151,24%,11,FA,41831
Dontayvion Wicks,WR,Phi,152,152,15%,10,FA,40201
Emmett Johnson,RB,KC,157,157,17%,5,FA,42796
Jalen McMillan,WR,TB,160,160,16%,10,FA,40954
Ja'Kobi Lane,WR,Bal,161,161,19%,13,FA,42702
Kaelon Black,RB,SF,169,169,22%,8,FA,42712
Pat Bryant,WR,Den,171,171,7%,10,FA,41860
Ryan Flournoy,WR,Dal,172,172,8%,14,FA,41087
Malik Davis,RB,Dal,176,176,6%,14,FA,34610
Caleb Douglas,WR,Mia,179,179,11%,6,FA,42697
Cyrus Allen,WR,KC,180,180,8%,5,FA,42773
Bryce Young,QB,Car,182,182,13%,5,FA,40029
Tre' Harris,WR,LAC,184,184,4%,7,FA,41840
Jalen Nailor,WR,LV,186,186,17%,13,FA,34147
Jaylin Noel,WR,Hou,190,190,2%,8,FA,41885
Omar Cooper Jr.,WR,NYJ,192,192,6%,13,FA,42652
Greg Dulcich,TE,Mia,193,193,11%,6,FA,34036
Kenyon Sadiq,TE,NYJ,195,195,15%,13,FA,42638
Najee Harris,RB,NYG,201,201,9%,8,FA,33412
Demond Claiborne,RB,Min,203,203,2%,6,FA,42820
Nicholas Singleton,RB,Ten,204,204,4%,9,FA,42763
Devaughn Vele,WR,NO,205,205,3%,8,FA,41097
Chris Bell,WR,Mia,206,206,5%,6,FA,42716
Jacoby Brissett,QB,Ari,209,209,7%,14,FA,29325
Zachariah Branch,WR,Atl,212,212,4%,11,FA,42701
Fernando Mendoza,QB,LV,214,214,11%,13,FA,42623
Pat Freiermuth,TE,Pit,216,216,6%,9,FA,33443
George Holani,RB,Sea,219,219,3%,11,FA,41344
Rashod Bateman,WR,Bal,222,222,3%,13,FA,33415
