Fantasy Team,Player,Position,NFL Team,Yahoo Player ID
Frankie_pix,Jared Goff,QB,Det,29235
Frankie_pix,Jordan Addison,WR,Min,40042
Frankie_pix,Darnell Mooney,WR,NYG,32843
Frankie_pix,Jakobi Meyers,WR,Jax,32231
Frankie_pix,James Cook III,RB,Buf,34019
Frankie_pix,Bucky Irving,RB,TB,40993
Frankie_pix,David Njoku,TE,LAC,30142
Frankie_pix,Marvin Mims Jr.,WR,Den,40090
Frankie_pix,Noah Fant,TE,NO,31852
Frankie_pix,Patrick Mahomes,QB,KC,30123
Frankie_pix,Chuba Hubbard,RB,Car,33514
Frankie_pix,AJ Barner,TE,Sea,41001
Frankie_pix,Demarcus Robinson,WR,SF,29360
Frankie_pix,Devin Singletary,RB,NYG,31906
Frankie_pix,Mike Evans,WR,SF,27535
Frankie_pix,Ollie Gordon II,RB,Mia,41969
Frankie_pix,DeAndre Hopkins,WR,Bal,26650
Frankie_pix,Malik Nabers,WR,NYG,40899
Frankie_pix,Kaleb Johnson,RB,GB,41881
Frankie_pix,DJ Giddens,RB,Ind,41937
Frankie_pix,Brandin Cooks,WR,NO,27548
Frankie_pix,Jake Bates,K,Det,40835
Frankie_pix,Joey Slye,K,Ten,32384
Frankie_pix,Vikings,DEF,Min,
Frankie_pix,Chargers,DEF,LAC,
God619,Brock Purdy,QB,SF,34218
God619,Jaxon Smith-Njigba,WR,Sea,40041
God619,Amon-Ra St. Brown,WR,Det,33500
God619,Jauan Jennings,WR,Min,32887
God619,Saquon Barkley,RB,Phi,30972
God619,Kyren Williams,RB,LAR,34120
God619,Jake Tonges,TE,SF,34374
God619,Christian McCaffrey,RB,SF,30121
God619,George Kittle,TE,SF,30259
God619,Dalton Schultz,TE,Hou,31107
God619,Kyle Monangai,RB,Chi,42025
God619,Romeo Doubs,WR,NE,34088
God619,Rome Odunze,WR,Chi,40901
God619,J.J. McCarthy,QB,Min,40905
God619,Rachaad White,RB,Was,34047
God619,Keenan Allen,WR,Ind,26699
God619,Kareem Hunt,RB,KC,30199
God619,Travis Hunter,WR,Jax,41787
God619,Chris Godwin Jr.,WR,TB,30197
God619,Tyler Shough,QB,NO,41825
God619,Jalen Coker,WR,Car,41293
God619,Andy Borregales,K,NE,41980
God619,Harrison Butker,K,KC,30346
God619,Buccaneers,DEF,TB,100027
God619,Cowboys,DEF,Dal,100006
Hawk-Tua Tuesdays,Jalen Hurts,QB,Phi,32723
Hawk-Tua Tuesdays,Chris Olave,WR,NO,33966
Hawk-Tua Tuesdays,Deebo Samuel Sr.,WR,SF,31868
Hawk-Tua Tuesdays,Michael Wilson,WR,Ari,40121
Hawk-Tua Tuesdays,Jahmyr Gibbs,RB,Det,40059
Hawk-Tua Tuesdays,Omarion Hampton,RB,LAC,41807
Hawk-Tua Tuesdays,Jake Ferguson,TE,Dal,34085
Hawk-Tua Tuesdays,Stefon Diggs,WR,Was,28534
Hawk-Tua Tuesdays,Jaylen Warren,RB,Pit,34447
Hawk-Tua Tuesdays,Terry McLaurin,WR,Was,31908
Hawk-Tua Tuesdays,Baker Mayfield,QB,TB,30971
Hawk-Tua Tuesdays,Woody Marks,RB,Hou,41902
Hawk-Tua Tuesdays,Tee Higgins,WR,Cin,32703
Hawk-Tua Tuesdays,Malik Washington,WR,Mia,41058
Hawk-Tua Tuesdays,Ricky Pearsall,WR,SF,40892
Hawk-Tua Tuesdays,Tyjae Spears,RB,Ten,40119
Hawk-Tua Tuesdays,Jayden Reed,WR,GB,40063
Hawk-Tua Tuesdays,Braelon Allen,RB,NYJ,40981
Hawk-Tua Tuesdays,Calvin Austin III,WR,NYG,34094
Hawk-Tua Tuesdays,Adonai Mitchell,WR,NYJ,40915
Hawk-Tua Tuesdays,Darren Waller,TE,Car,28592
Hawk-Tua Tuesdays,Cameron Dicker,K,LAC,34344
Hawk-Tua Tuesdays,Jason Myers,K,Sea,28378
Hawk-Tua Tuesdays,Bills,DEF,Buf,100002
Hawk-Tua Tuesdays,Packers,DEF,GB,100009
